"THETFORD WATERWORKS",,,,,,,,,,,,
Grid ref,TL865845,Long,0.741570,Lat,52.426669,,,,,,,
Station no,1456,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.49,0.99,3.56,1.24,0.84,0.81,,
February,,,,,2.77,1.07,2.12,1.43,1.79,0.34,,
March,,,,,1.48,2.22,2.18,1.28,1.90,2.18,,
April,,,,,0.84,1.91,0.75,2.99,3.10,1.29,,
May,,,,,2.08,1.07,1.07,2.48,1.19,1.36,,
June,,,,,0.69,3.36,3.29,2.11,1.03,3.30,,
July,,,,,1.97,0.69,0.80,2.12,3.39,3.10,,
August,,,,,2.41,2.68,0.91,1.70,2.68,1.93,,
September,,,,,1.53,2.73,0.97,0.44,1.79,1.53,,
October,,,,,1.22,2.34,3.95,2.53,1.34,3.28,,
November,,,,,1.19,1.60,2.99,2.57,1.27,0.74,,
December,,,,,1.61,0.77,2.35,2.83,1.58,4.13,,
Total,,,,,19.28,21.43,24.94,23.72,21.90,23.99,,
Calc annual,0.00,0.00,0.00,0.00,19.28,21.43,24.94,23.72,21.90,23.99,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
