"THIRSK MOUNT ST JOHN",,,,,,,,,,,,
Grid ref,SE472850,Long,-1.276954,Lat,54.258501,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.61,1.08,0.59,,
February,,,,,,,,1.45,1.96,0.79,,
March,,,,,,,,0.79,2.81,3.80,,
April,,,,,,2.67,,2.32,3.19,2.20,,
May,,,,,,1.21,,3.10,1.40,1.23,,
June,,,,,,1.46,,3.46,0.24,2.80,,
July,,,,,,1.38,,1.61,3.92,2.89,,
August,,,,,,2.75,,2.06,1.84,3.58,,
September,,,,,,2.91,,0.75,2.56,2.36,,
October,,,,,,2.03,,4.15,1.09,2.99,,
November,,,,,,4.64,,2.50,1.61,0.89,,
December,,,,,,0.31,,3.02,1.36,3.95,,
Total,,,,,,,,25.82,23.06,28.07,,
Calc annual,0.00,0.00,0.00,0.00,0.00,19.36,0.00,25.82,23.06,28.07,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
