"SALHOUSE",,,,,,,,,,,,
Grid ref,TG312147,Long,1.418889,Lat,52.680629,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.75,0.45,1.03,1.29,1.20,,,,,,,
February,2.74,1.44,0.66,0.27,2.43,,,,,,,
March,1.20,1.64,0.77,1.41,,,,,,,,
April,1.10,2.17,1.29,1.86,,,,,,,,
May,1.59,0.80,3.77,1.86,,,,,,,,
June,2.70,2.07,2.22,2.06,,,,,,,,
July,1.69,1.21,1.94,5.59,,,,,,,,
August,3.78,0.92,2.39,2.54,,,,,,,,
September,0.68,0.75,1.37,2.66,,,,,,,,
October,2.02,1.90,1.55,4.81,,,,,,,,
November,2.04,2.14,1.19,1.82,,,,,,,,
December,2.43,3.17,,1.05,,,,,,,,
Total,24.72,18.66,,27.22,,,,,,,,
Calc annual,24.72,18.66,18.18,27.22,3.63,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
