"WHITEHAVEN SCRAGILL RESERVOIR",,,,,,,,,,,,
Grid ref,NX982169,Long,-3.574877,Lat,54.537099,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.76,2.52,,
February,,,,,,,,,1.98,2.03,,
March,,,,,,,,,3.59,4.04,,
April,,,,,,,,,1.92,3.60,,
May,,,,,,,,,2.78,2.33,,
June,,,,,,,,,2.45,3.25,,
July,,,,,,,,,3.89,6.23,,
August,,,,,,,,,3.82,2.46,,
September,,,,,,,,,5.24,3.34,,
October,,,,,,,,,2.05,9.80,,
November,,,,,,,,,3.44,1.43,,
December,,,,,,,,,4.09,7.09,,
Total,,,,,,,,,39.01,48.12,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.01,48.12,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
