"ROSCREA, TIMONEY PARK",,,,,,,,,,,,
Grid ref,IS1894984677,Long,-7.719028,Lat,52.912861,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.29,4.44,1.19,2.92,2.61,,
February,,,,,,1.18,2.72,1.83,2.14,1.30,,
March,,,,,,4.83,2.29,2.68,3.65,2.97,,
April,,,,,,2.83,2.26,2.09,2.10,5.03,,
May,,,,,,0.56,3.36,2.92,2.49,2.38,,
June,,,,,,1.68,1.22,3.92,1.61,2.54,,
July,,,,,,1.58,2.57,3.28,2.55,2.43,,
August,,,,,,5.93,2.41,3.90,3.98,1.51,,
September,,,,,,1.32,1.44,1.78,6.95,2.64,,
October,,,,,,1.08,4.94,5.36,2.19,5.69,,
November,,,,,,2.58,1.54,4.13,3.07,2.03,,
December,,,,,,1.75,3.44,3.82,3.49,4.00,,
Total,,,,,,27.61,32.63,36.90,37.14,35.13,,
Calc annual,0.00,0.00,0.00,0.00,0.00,27.61,32.63,36.90,37.14,35.13,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
