"CUPAR FIFE KINROSS ASYLUM",,,,,,,,,,,,
Grid ref,NO348130,Long,-3.055308,Lat,56.304918,,,,,,,
Station no,5493,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.32,1.77,1.06,2.90,1.26,0.35,3.10,0.96,1.60,2.12,,
February,3.20,1.14,0.77,4.27,3.17,0.41,1.37,1.31,0.82,0.66,,
March,1.57,1.51,0.85,3.06,0.98,2.11,2.12,2.08,4.12,4.61,,
April,1.10,2.57,1.16,0.82,0.86,0.76,0.61,2.37,0.93,3.17,,
May,1.72,1.66,1.38,0.97,1.16,0.60,6.18,3.61,1.64,1.90,,
June,1.24,1.65,1.09,1.12,0.34,1.01,1.49,3.69,0.73,1.80,,
July,3.13,0.51,1.84,3.27,0.88,0.71,1.00,3.14,2.06,4.38,,
August,3.98,2.96,1.93,3.51,3.37,1.91,4.46,3.20,1.19,3.00,,
September,2.07,1.87,1.20,1.81,1.43,1.17,0.98,0.95,4.95,1.95,,
October,3.95,2.24,1.15,5.02,0.51,1.92,5.05,5.91,2.77,4.96,,
November,5.20,1.88,2.94,0.63,0.35,6.73,3.28,1.80,3.15,1.31,,
December,2.90,1.84,3.75,1.45,1.08,2.02,1.53,2.95,2.63,3.73,,
Total,32.38,21.60,19.12,28.83,15.39,19.70,31.17,31.97,26.59,33.59,,
Calc annual,32.38,21.60,19.12,28.83,15.39,19.70,31.17,31.97,26.59,33.59,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
