"RUGBY TEMPLE OBSERVATORY = SCHOOL",,,,,,,,,,,,
Grid ref,SP505748,Long,-1.259719,Lat,52.368929,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.69,0.95,0.94,1.89,2.20,0.57,3.53,1.20,0.79,1.17,,
February,4.71,2.36,1.35,0.95,2.75,0.57,2.18,1.13,1.19,0.55,,
March,0.64,1.00,1.59,3.30,1.63,2.62,1.38,0.94,2.79,3.38,,
April,0.81,2.39,1.33,1.26,0.85,1.20,0.89,2.10,4.18,1.37,,
May,1.69,1.04,2.28,2.90,2.29,0.44,1.93,4.15,1.32,1.61,,
June,3.46,3.16,3.34,2.22,0.61,3.09,3.02,2.06,1.21,3.46,,
July,0.77,3.68,1.70,3.07,1.94,1.48,0.86,2.47,2.44,2.89,,
August,3.66,1.69,3.83,3.24,2.42,3.86,0.94,3.51,3.75,1.76,,
September,0.66,1.17,1.17,2.00,2.08,2.00,1.60,0.76,1.93,2.21,,
October,2.72,0.94,2.42,5.78,0.76,0.93,4.95,5.14,1.24,3.02,,
November,3.26,0.65,1.50,1.66,1.37,2.20,3.21,1.88,0.81,0.68,,
December,4.61,3.46,1.16,2.01,1.56,0.91,2.43,3.06,2.56,3.88,,
Total,30.68,22.49,22.61,30.28,20.46,19.87,26.92,28.40,24.21,25.98,,
Calc annual,30.68,22.49,22.61,30.28,20.46,19.87,26.92,28.40,24.21,25.98,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
