"SOUTHFLEET KENT WATERWORKS",,,,,,,,,,,,
Grid ref,TQ610724,Long,0.314481,Lat,51.427738,,,,,,,
Station no,407,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.61,0.58,0.50,1.93,2.72,0.92,3.36,1.17,1.09,0.97,,
February,4.08,1.10,0.96,1.44,2.79,0.77,1.70,1.17,0.99,0.71,,
March,0.90,1.71,1.62,1.78,1.54,2.74,0.99,0.76,2.06,3.27,,
April,0.75,1.46,0.44,1.61,0.75,2.00,0.58,2.38,2.40,1.41,,
May,1.61,1.06,2.39,2.08,1.65,0.80,1.48,2.23,1.46,1.17,,
June,2.29,0.68,2.47,5.28,0.87,4.47,2.15,2.62,1.34,2.80,,
July,1.29,1.76,1.50,6.10,1.41,0.46,0.90,1.08,3.03,3.38,,
August,2.21,1.60,2.70,3.32,1.60,2.25,0.59,1.81,2.92,2.37,,
September,0.72,0.99,0.77,2.17,1.14,1.52,1.96,0.34,1.34,2.45,,
October,1.40,2.34,1.45,5.12,1.69,1.12,4.70,3.28,1.39,3.70,,
November,2.45,0.55,1.44,2.13,1.40,3.28,4.28,1.95,0.78,0.81,,
December,2.04,3.76,1.24,1.79,2.52,0.57,1.63,2.37,1.77,2.80,,
Total,22.35,17.59,17.48,34.75,20.08,20.90,24.32,21.16,20.57,25.84,,
Calc annual,22.35,17.59,17.48,34.75,20.08,20.90,24.32,21.16,20.57,25.84,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
