"LANRICK CASTLE",,,,,,,,,,,,
Grid ref,NN687031,Long,-4.118032,Lat,56.202331,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.20,2.65,3.60,10.80,3.90,,,,,6.13,,
February,3.15,1.60,1.50,8.90,4.10,,,,,1.53,,
March,0.50,2.00,2.75,8.25,2.00,,,,,2.35,,
April,3.50,3.55,1.50,1.20,5.55,,,,,4.20,,
May,2.95,1.70,2.15,1.85,3.70,,,,,3.37,,
June,4.70,3.90,2.20,3.55,1.95,,,,,2.28,,
July,3.90,3.15,3.20,5.65,2.65,,,,,2.48,,
August,3.40,3.20,3.55,6.05,5.60,,,,,2.21,,
September,3.45,2.85,3.10,3.15,4.50,,,,,1.64,,
October,5.95,4.10,2.25,9.20,2.80,,,,,5.92,,
November,5.90,2.85,2.80,2.50,1.60,,,,,0.41,,
December,8.85,6.50,6.00,3.90,5.20,,,,,5.72,,
Total,52.45,38.05,34.60,65.00,43.55,,,,,38.24,,
Calc annual,52.45,38.05,34.60,65.00,43.55,0.00,0.00,0.00,0.00,38.24,,
Difference,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,0.00,,
