"WIMBORNE BROADSTONE",,,,,,,,,,,,
Grid ref,SZ011958,Long,-1.985770,Lat,50.761791,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.39,1.29,1.00,0.97,,
February,,,,,,,2.77,0.77,1.25,0.48,,
March,,,,,,,1.09,0.45,3.46,3.62,,
April,,,,,,,1.04,2.97,2.03,1.26,,
May,,,,,,,2.31,1.55,2.30,1.73,,
June,,,,,,,1.46,1.59,0.42,4.26,,
July,,,,,,,1.56,1.04,2.72,2.35,,
August,,,,,,,0.55,1.73,4.29,2.95,,
September,,,,,,,0.63,1.04,2.19,4.02,,
October,,,,,,,5.19,9.79,2.37,7.64,,
November,,,,,,,3.06,3.18,1.10,0.65,,
December,,,,,,,1.75,4.05,3.53,4.61,,
Total,,,,,,,27.80,29.45,26.66,34.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,27.80,29.45,26.66,34.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
