"GLASGOW GREEN PARK",,,,,,,,,,,,
Grid ref,NS600640,Long,-4.237742,Lat,55.848821,,,,,,,
Station no,5173,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.94,2.89,3.03,7.91,3.80,1.71,4.83,2.94,4.42,5.02,,
February,2.86,1.32,1.62,6.85,2.04,2.33,2.57,3.51,2.45,1.69,,
March,0.63,4.02,2.26,7.31,1.39,2.96,3.70,4.27,3.52,2.71,,
April,1.88,2.71,0.57,1.25,4.07,1.78,1.09,1.75,1.13,3.25,,
May,2.25,1.75,1.85,2.66,3.35,1.50,4.24,3.60,2.85,1.83,,
June,3.76,3.41,1.76,1.40,1.40,0.57,1.55,4.35,2.24,2.74,,
July,3.30,1.78,2.67,3.46,3.31,2.45,2.11,3.40,2.08,2.90,,
August,5.33,3.61,3.11,5.82,3.23,3.69,5.04,4.94,1.64,2.51,,
September,3.37,2.65,3.02,3.53,2.45,2.03,2.21,1.42,3.77,1.67,,
October,4.57,3.96,2.04,7.23,1.66,2.22,5.18,6.99,1.41,4.47,,
November,6.35,2.98,1.98,2.86,2.09,3.35,4.43,2.30,2.57,1.95,,
December,7.05,4.74,4.18,2.73,3.45,3.41,3.64,5.24,3.41,4.43,,
Total,46.29,35.82,28.09,53.01,32.24,28.00,40.59,44.71,31.49,35.17,,
Calc annual,46.29,35.82,28.09,53.01,32.24,28.00,40.59,44.71,31.49,35.17,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
