"TIREE, THE MANSE SCARINISH",,,,,,,,,,,,
Grid ref,NM044456,Long,-6.806641,Lat,56.509267,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,5.89,,
February,,,,,,,,,,2.82,,
March,,,,,,,,,,1.76,,
April,,,,,,,,,,3.94,,
May,,,,,,,,,,3.75,,
June,,,,,,,,,,1.24,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,4.16,,,
December,,,,,,,,,7.90,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.06,19.40,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
