"JURA, FEOLINE",,,,,,,,,,,,
Grid ref,NR441691,Long,-6.089682,Lat,55.847008,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,5.00,,,,,,,,,
February,,,2.00,,,,,,,,,
March,,,6.00,,,,,,,,,
April,,,3.50,,,,,,,,,
May,,,3.70,,,,,,,,,
June,,,1.20,,,,,,,,,
July,,,4.50,,,,,,,,,
August,,,4.00,,,,,,,,,
September,,,5.00,,,,,,,,,
October,,,4.50,,,,,,,,,
November,,,7.00,,,,,,,,,
December,,,7.50,,,,,,,,,
Total,,,53.90,,,,,,,,,
Calc annual,0.00,0.00,53.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
