"ABERGELDIE CASTLE",,,,,,,,,,,,
Grid ref,NO287952,Long,-3.176667,Lat,57.042346,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.15,,
February,,,,,,,,,,1.06,,
March,,,,,,,,,,6.97,,
April,,,,,,,,,,3.51,,
May,,,,,,,,,,2.64,,
June,,,,,,,,,,1.78,,
July,,,,,,,,,,3.12,,
August,,,,,,,,,,1.50,,
September,,,,,,,,,3.06,1.70,,
October,,,,,,,,,1.69,5.02,,
November,,,,,,,,,1.59,1.17,,
December,,,,,,,,,2.95,2.70,,
Total,,,,,,,,,,33.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.29,33.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
