"TOUCH RESERVOIRS NO.1. GAUGE",,,,,,,,,,,,
Grid ref,NS736916,Long,-4.033642,Lat,56.100402,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.22,1.80,4.24,3.01,5.54,7.28,,
February,,,,,3.34,2.18,1.89,3.90,3.05,1.69,,
March,,,,,2.41,5.91,2.03,4.70,5.44,2.10,,
April,,,,,5.01,2.26,0.84,2.13,1.47,4.77,,
May,,,,,3.94,1.85,4.80,6.15,3.43,4.29,,
June,,,,,1.82,0.67,1.98,5.37,2.53,2.24,,
July,,,,,2.51,2.28,2.59,2.96,4.21,3.14,,
August,,,,,4.99,4.29,5.42,6.60,5.09,3.59,,
September,,,,,4.11,1.56,1.93,1.93,7.32,2.03,,
October,,,,,2.07,2.19,6.70,6.20,2.19,8.35,,
November,,,,,1.63,4.51,4.63,3.35,4.62,2.27,,
December,,,,,5.18,3.04,3.11,7.48,4.36,6.72,,
Total,,,,,41.23,32.54,40.16,53.78,49.25,48.47,,
Calc annual,0.00,0.00,0.00,0.00,41.23,32.54,40.16,53.78,49.25,48.47,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,0.00,,
