"GARVALD DONOLLY RESERVOIR",,,,,,,,,,,,
Grid ref,NT580690,Long,-2.673463,Lat,55.912255,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.21,2.83,1.35,6.52,2.50,2.20,2.83,0.72,3.15,1.62,,
February,4.38,2.52,0.74,4.10,4.45,1.21,1.52,1.32,1.51,2.31,,
March,4.54,2.54,1.78,2.47,2.00,2.73,1.75,2.11,4.75,6.45,,
April,1.43,1.73,1.80,2.01,2.10,2.41,1.22,2.30,2.50,3.24,,
May,1.56,2.00,4.24,1.50,3.53,1.30,7.50,2.31,2.21,2.41,,
June,2.84,1.45,3.52,2.73,2.77,1.43,1.96,2.97,1.11,2.20,,
July,3.07,1.53,2.56,4.21,2.10,3.43,1.39,3.03,3.59,2.85,,
August,4.02,6.40,1.43,3.63,3.13,3.37,5.26,2.52,2.32,3.48,,
September,2.01,2.21,1.67,2.73,2.20,4.02,1.26,1.81,3.14,3.41,,
October,5.03,2.00,2.56,6.82,1.51,2.75,7.46,9.34,1.60,3.71,,
November,5.15,4.35,2.50,2.21,2.50,5.75,4.74,2.71,1.82,0.58,,
December,4.31,7.53,4.21,2.11,2.56,1.00,1.85,4.02,0.65,4.25,,
Total,42.55,37.09,28.36,41.04,31.35,31.60,38.74,35.16,28.35,36.51,,
Calc annual,42.55,37.09,28.36,41.04,31.35,31.60,38.74,35.16,28.35,36.51,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
