"MINARD CASTLE GARDENS",,,,,,,,,,,,
Grid ref,NR971942,Long,-5.263639,Lat,56.097371,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,7.22,8.43,8.15,,,,,,
February,,,,11.53,4.45,7.69,,,,,,
March,,,,9.37,3.74,,,,,,,
April,,,,3.43,8.44,,,,,,,
May,,,,2.74,4.27,,,,,,,
June,,,,1.52,3.22,,,,,,,
July,,,,6.85,4.54,,,,,,,
August,,,,9.92,5.52,,,,,,,
September,,,,4.31,5.88,,,,,,,
October,,,,8.76,5.34,,,,,,,
November,,,,5.76,6.21,,,,,,,
December,,,,5.84,6.39,,,,,,,
Total,,,,77.25,66.43,,,,,,,
Calc annual,0.00,0.00,0.00,77.25,66.43,15.84,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
