"BOLLINGTON SPONDS HILL",,,,,,,,,,,,
Grid ref,SJ970803,Long,-2.046496,Lat,53.319618,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.18,1.21,1.23,2.14,2.49,1.98,3.21,1.03,1.96,1.00,,
February,2.72,1.04,0.58,1.86,2.04,1.05,1.63,1.08,2.23,1.49,,
March,0.74,1.43,1.97,2.86,1.20,2.71,1.72,1.75,2.67,3.30,,
April,2.21,1.59,1.38,1.29,1.61,1.52,2.02,1.11,1.40,2.35,,
May,1.54,1.08,4.25,2.12,2.32,0.71,2.93,2.39,2.22,1.47,,
June,4.26,1.34,1.26,0.86,0.35,1.53,1.37,7.18,2.71,2.45,,
July,3.03,3.46,1.91,2.76,0.82,1.57,1.38,3.08,3.85,4.14,,
August,4.22,1.63,3.49,4.15,4.07,3.51,2.72,3.68,2.68,2.17,,
September,1.24,0.66,0.85,3.97,1.33,2.43,1.43,0.30,3.18,2.46,,
October,3.48,2.72,3.64,6.08,0.82,2.38,4.93,3.06,0.72,4.68,,
November,2.12,3.27,1.21,2.64,1.45,2.96,1.82,1.66,2.23,1.35,,
December,3.27,2.78,1.91,1.24,1.43,0.42,4.35,2.16,3.17,4.37,,
Total,33.01,22.21,23.68,31.97,19.93,22.77,29.51,28.48,29.02,31.23,,
Calc annual,33.01,22.21,23.68,31.97,19.93,22.77,29.51,28.48,29.02,31.23,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,,
