"GLENQUOICH",,,,,,,,,,,,
Grid ref,NH028030,Long,-5.255059,Lat,57.075659,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,17.44,10.26,15.26,21.20,14.57,15.38,21.71,14.40,14.53,13.97,,
February,5.04,4.12,2.14,21.35,7.26,13.78,10.82,13.43,14.70,8.42,,
March,1.79,6.99,12.79,20.99,5.76,10.35,13.00,14.48,11.65,1.52,,
April,7.73,6.14,5.17,6.31,17.86,4.14,7.00,5.09,3.32,4.93,,
May,6.68,1.64,8.18,5.32,8.77,6.03,6.10,7.20,5.61,5.80,,
June,4.19,7.60,2.05,3.59,7.05,3.80,2.56,11.12,5.81,1.68,,
July,6.62,4.03,4.91,10.13,4.39,6.33,11.86,5.16,4.66,8.29,,
August,8.02,8.60,5.95,16.47,8.45,9.13,8.15,15.22,8.81,8.55,,
September,9.70,6.80,8.15,8.47,8.92,11.89,7.42,5.03,11.32,4.80,,
October,13.21,15.05,14.93,16.31,10.62,9.65,11.45,5.33,2.88,18.23,,
November,5.95,9.96,6.01,14.41,10.70,9.12,12.11,12.66,11.55,11.85,,
December,23.24,13.81,16.95,7.28,15.35,14.81,16.69,14.42,12.56,10.56,,
Total,109.61,95.00,102.49,151.83,119.70,114.41,128.87,123.54,107.40,98.60,,
Calc annual,109.61,95.00,102.49,151.83,119.70,114.41,128.87,123.54,107.40,98.60,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
