"IRONGRAY DRUM PARK",,,,,,,,,,,,
Grid ref,NX873799,Long,-3.767810,Lat,55.100668,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.74,3.85,3.42,6.62,4.86,3.20,7.20,,,,,
February,4.36,1.43,3.66,7.12,3.80,3.19,3.68,,,,,
March,0.44,2.86,4.47,10.76,4.50,6.10,3.63,,,,,
April,2.99,3.92,2.15,1.50,4.50,4.29,1.42,,,,,
May,4.99,2.22,2.42,3.46,3.12,2.98,8.50,,,,,
June,5.32,4.32,1.83,2.70,2.62,2.45,2.04,,,,,
July,3.20,1.81,2.46,5.26,4.23,2.50,2.84,,,,,
August,7.07,5.29,3.42,6.39,5.75,4.26,7.36,,,,,
September,3.72,4.18,3.04,4.05,3.93,1.80,1.16,,,,,
October,5.94,5.97,3.66,10.19,3.10,3.24,8.00,,,,,
November,6.02,3.94,4.42,4.40,3.86,5.22,4.18,,,,,
December,10.38,5.57,5.70,4.15,5.20,3.46,5.90,,,,,
Total,60.17,45.36,40.65,66.60,49.47,42.69,55.91,,,,,
Calc annual,60.17,45.36,40.65,66.60,49.47,42.69,55.91,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
