"LOCH ARKLET CORRIEARKLET",,,,,,,,,,,,
Grid ref,NN382099,Long,-4.613298,Lat,56.253969,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,8.10,12.60,7.90,9.70,10.30,,
February,,,,,,7.90,11.10,9.20,7.20,5.40,,
March,,,,,,10.80,7.80,8.10,8.60,2.30,,
April,,,,,,5.30,3.70,4.80,2.40,8.20,,
May,,,,,,3.30,7.50,8.40,5.00,5.70,,
June,,,,,,2.90,1.30,7.40,5.40,3.70,,
July,,,,,,4.70,6.20,3.50,7.30,5.50,,
August,,,,,,8.70,9.90,11.30,7.80,5.80,,
September,,,,,,5.60,5.20,3.30,13.70,3.80,,
October,,,,,,6.70,11.20,6.20,3.60,13.70,,
November,,,,,,9.70,8.90,6.70,8.10,6.30,,
December,,,,,,8.90,8.50,10.20,9.60,10.60,,
Total,,,,,,82.60,93.90,87.00,88.40,81.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,82.60,93.90,87.00,88.40,81.30,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,,
