"LARGO CARLTON",,,,,,,,,,,,
Grid ref,NO425033,Long,-2.928772,Lat,56.218780,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.20,3.47,2.23,,
February,,,,,,,,1.60,1.21,1.25,,
March,,,,,,,,2.11,4.41,5.73,,
April,,,,,,,,1.56,1.56,3.47,,
May,,,,,,,,5.07,1.94,2.82,,
June,,,,,,,,4.83,1.31,1.73,,
July,,,,,,,,2.40,3.10,3.41,,
August,,,,,,,,3.19,3.49,2.42,,
September,,,,,,,,1.16,4.94,1.57,,
October,,,,,,,,6.79,3.55,3.55,,
November,,,,,,,,2.00,1.81,0.41,,
December,,,,,,,,4.01,1.05,4.33,,
Total,,,,,,,,35.92,31.84,32.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.92,31.84,32.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
