"SELHAM RECTORY",,,,,,,,,,,,
Grid ref,SU933207,Long,-0.672376,Lat,50.978162,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.02,,
February,,,,,,,,,,0.45,,
March,,,,,,,,,,5.54,,
April,,,,,,,,,,1.44,,
May,,,,,,,,,,2.01,,
June,,,,,,,,,,2.90,,
July,,,,,,,,,,2.28,,
August,,,,,,,,,,2.43,,
September,,,,,,,,,,3.52,,
October,,,,,,,,,,8.40,,
November,,,,,,,,,,0.99,,
December,,,,,,,,,,5.84,,
Total,,,,,,,,,,36.82,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
