"MULL, KNOCK",,,,,,,,,,,,
Grid ref,NM543389,Long,-5.991640,Lat,56.477926,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,8.70,5.59,7.99,8.56,9.07,13.19,15.19,,10.30,,
February,,4.83,2.37,14.16,10.59,4.40,10.44,10.25,14.77,8.32,,
March,,2.89,6.97,21.81,7.20,12.57,13.81,14.64,8.93,1.70,,
April,,2.36,2.25,5.07,10.10,8.41,6.80,13.62,,6.88,,
May,,2.55,3.12,1.47,5.15,5.21,7.15,24.17,5.47,5.45,,
June,,5.62,2.61,4.31,6.54,1.74,3.43,33.27,5.10,2.36,,
July,,1.86,5.64,18.45,7.58,9.45,3.04,23.10,7.92,7.27,,
August,,2.45,5.04,16.48,6.10,10.39,9.64,38.60,7.00,5.49,,
September,,8.49,6.24,8.16,8.56,3.93,3.91,8.34,6.37,3.88,,
October,,5.80,5.13,19.58,13.02,11.00,9.83,18.98,4.07,15.79,,
November,,7.40,7.59,10.22,17.66,14.83,17.82,28.62,8.45,6.96,,
December,,11.38,12.32,12.08,11.11,10.31,15.90,14.40,13.80,10.90,,
Total,108.09,64.33,64.87,139.78,112.17,101.31,114.96,243.18,,85.30,,
Calc annual,0.00,64.33,64.87,139.78,112.17,101.31,114.96,243.18,81.88,85.30,,
Difference,108.09,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,NaN,0.00,,
