"CLIPSTONE WATERWORKS MANSFIELD",,,,,,,,,,,,
Grid ref,SK602643,Long,-1.100850,Lat,53.172415,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.72,0.92,1.04,,
February,,,,,,,,1.94,1.40,0.78,,
March,,,,,,,,1.36,3.51,3.20,,
April,,,,,,,,1.64,2.10,1.59,,
May,,,,,,,,2.72,1.90,1.32,,
June,,,,,,,,2.45,2.65,3.61,,
July,,,,,,,,1.47,2.56,3.64,,
August,,,,,,,,1.92,2.36,3.20,,
September,,,,,,,,0.51,3.47,3.12,,
October,,,,,,,,4.48,0.82,3.17,,
November,,,,,,,,2.15,1.10,0.52,,
December,,,,,,,,2.87,2.23,4.53,,
Total,,,,,,,,24.23,25.02,29.72,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.23,25.02,29.72,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,,
