"ST AUSTELL TEVARTHIAN",,,,,,,,,,,,
Grid ref,SX016527,Long,-4.789584,Lat,50.340724,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.48,2.03,3.89,,
February,,,,,,,,2.89,3.37,0.80,,
March,,,,,,,,1.80,5.87,5.79,,
April,,,,,,,,6.29,2.78,2.64,,
May,,,,,,,,2.89,2.38,1.35,,
June,,,,,,,,3.34,0.73,4.02,,
July,,,,,,,,2.54,2.54,3.30,,
August,,,,,,,,2.20,4.93,1.65,,
September,,,,,,,,1.78,4.55,1.43,,
October,,,,,,,,8.44,2.86,6.91,,
November,,,,,,,,5.08,1.87,2.03,,
December,,,,,,,,5.80,4.91,6.86,,
Total,,,,,,,,45.53,38.82,40.67,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.53,38.82,40.67,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
