"DORCHESTER WATER WORKS",,,,,,,,,,,,
Grid ref,SY683905,Long,-2.450353,Lat,50.713260,,,,,,,
Station no,1576,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.26,2.42,1.18,3.82,6.10,1.20,8.40,1.76,1.55,1.37,,
February,5.19,1.43,2.04,1.91,6.01,0.61,4.24,1.38,1.77,0.53,,
March,1.50,2.43,2.63,4.61,1.57,5.49,1.43,0.74,3.29,5.30,,
April,1.61,3.52,2.36,4.11,1.26,2.31,1.25,4.56,2.74,1.72,,
May,1.85,1.19,2.44,3.63,3.81,0.48,3.47,2.31,1.93,1.21,,
June,2.83,1.14,3.35,1.99,1.12,1.89,1.72,2.33,0.30,4.12,,
July,0.85,1.49,1.89,3.23,3.22,0.40,1.29,1.35,2.01,3.54,,
August,2.86,2.77,4.15,5.87,3.57,3.37,0.97,1.70,5.45,3.32,,
September,1.65,4.06,1.65,3.51,2.90,2.55,1.30,0.84,3.29,3.13,,
October,2.78,3.50,3.13,8.23,2.68,2.68,6.83,10.41,5.16,9.55,,
November,4.87,0.60,4.62,1.87,1.70,5.54,5.05,4.01,1.49,0.89,,
December,6.75,5.98,2.15,4.26,3.73,1.13,2.42,5.35,4.28,6.79,,
Total,38.00,30.53,31.59,47.04,37.67,27.65,38.37,36.74,33.26,41.47,,
Calc annual,38.00,30.53,31.59,47.04,37.67,27.65,38.37,36.74,33.26,41.47,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
