"THORNTON HEATH, THORNTON LODGE",,,,,,,,,,,,
Grid ref,TQ323685,Long,-0.099532,Lat,51.400112,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.36,1.00,0.84,,
February,,,,,,,,2.01,1.50,,,
March,,,,,,,,0.40,2.43,4.06,,
April,,,,,,,,3.48,2.74,2.13,,
May,,,,,,,,1.86,1.90,1.24,,
June,,,,,,,,2.65,1.14,3.60,,
July,,,,,,,,1.30,4.42,3.15,,
August,,,,,,,,2.92,3.45,1.75,,
September,,,,,,,,0.38,1.93,2.98,,
October,,,,,,,,2.81,2.34,4.21,,
November,,,,,,,,2.51,0.84,1.66,,
December,,,,,,,,1.33,2.19,2.10,,
Total,,,,,,,,22.01,25.88,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.01,25.88,27.72,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,,
