"LAVENHAM HIGH STREET",,,,,,,,,,,,
Grid ref,TL915494,Long,0.795109,Lat,52.109762,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.86,1.00,,
February,,,,,,,,,1.62,0.60,,
March,,,,,,,,,1.95,2.86,,
April,,,,,,,,,2.30,1.48,,
May,,,,,,,,,1.45,1.11,,
June,,,,,,,,,0.75,5.28,,
July,,,,,,,,,3.52,3.07,,
August,,,,,,,,,1.79,2.12,,
September,,,,,,,,,1.20,2.00,,
October,,,,,,,,,1.47,3.12,,
November,,,,,,,,,1.25,1.06,,
December,,,,,,,,,1.53,3.99,,
Total,,,,,,,,,19.69,27.69,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.69,27.69,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
