"LARGIE CASTLE",,,,,,,,,,,,
Grid ref,NR699461,Long,NaN,Lat,NaN,,,,,,,
Station no,5416,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,6.76,5.57,2.77,5.36,1.92,4.87,4.16,,
February,,,,4.64,3.76,3.20,3.64,3.27,2.59,2.60,,
March,,,,5.39,1.81,4.26,3.37,4.86,6.22,2.62,,
April,,,,1.98,5.25,2.48,1.59,3.13,2.66,2.80,,
May,,,,2.80,2.86,1.72,5.45,3.62,2.22,1.71,,
June,,,,0.93,1.51,1.16,1.09,4.62,3.10,3.69,,
July,,,,2.61,2.69,3.38,2.74,2.79,3.49,4.42,,
August,,,1.91,6.14,4.82,6.72,3.92,4.84,3.40,2.79,,
September,,,3.91,4.23,4.90,3.25,2.72,1.69,6.26,1.93,,
October,,,2.62,10.11,3.20,5.84,6.90,5.35,1.33,5.17,,
November,,,6.27,4.88,4.61,5.72,4.42,3.07,3.92,2.85,,
December,,,5.10,5.18,4.07,3.26,3.44,6.96,4.56,5.47,,
Total,,,,55.65,45.05,43.76,44.64,46.12,44.62,40.21,,
Calc annual,0.00,0.00,19.81,55.65,45.05,43.76,44.64,46.12,44.62,40.21,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
