"CROMBIE RESERVOIR",,,,,,,,,,,,
Grid ref,NO522404,Long,-2.779155,Lat,56.553136,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.85,2.39,1.30,4.56,2.45,0.54,2.94,1.70,2.67,2.71,,
February,4.37,1.90,2.09,4.41,5.59,1.11,1.10,1.44,0.84,1.16,,
March,2.40,2.11,1.45,3.38,2.47,4.37,1.22,1.90,4.44,3.65,,
April,1.90,2.86,2.62,1.34,2.30,2.33,1.20,2.59,0.75,4.20,,
May,2.25,2.40,3.08,1.86,2.82,1.80,6.50,6.04,2.48,2.79,,
June,2.12,2.19,1.70,2.22,0.66,0.93,1.20,5.86,1.25,1.39,,
July,5.44,1.02,3.30,6.80,1.32,1.68,2.24,2.50,3.12,4.45,,
August,5.96,6.09,3.18,5.13,6.70,5.13,6.04,4.20,2.31,2.22,,
September,3.76,1.86,1.93,3.60,3.50,2.18,1.40,1.34,6.98,1.57,,
October,3.44,3.00,1.68,6.97,1.12,2.20,4.50,5.95,4.45,4.54,,
November,6.42,2.12,4.77,1.24,1.05,6.94,5.16,2.15,2.65,0.56,,
December,5.10,3.58,4.00,3.30,2.32,1.60,1.90,3.84,1.75,3.53,,
Total,49.01,31.52,31.10,44.81,32.30,30.81,35.40,39.51,33.69,32.77,,
Calc annual,49.01,31.52,31.10,44.81,32.30,30.81,35.40,39.51,33.69,32.77,,
Difference,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
