"KNARESBOROUGH WATER TOWER",,,,,,,,,,,,
Grid ref,SE348567,Long,-1.470542,Lat,54.005158,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.18,1.18,1.00,,
February,,,,,,,,1.82,1.63,0.60,,
March,,,,,,,,1.76,3.58,4.39,,
April,,,,,,,,1.28,2.70,2.61,,
May,,,,,,,,4.01,2.34,1.68,,
June,,,,,,,,2.78,1.13,3.42,,
July,,,,,,,,1.70,2.48,3.22,,
August,,,,,,,,1.84,1.49,3.24,,
September,,,,,,,,0.80,2.33,1.45,,
October,,,,,,,,6.59,1.49,2.22,,
November,,,,,,,,2.94,1.42,0.72,,
December,,,,,,,,2.90,1.38,4.59,,
Total,,,,,,,,29.60,23.15,29.14,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.60,23.15,29.14,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
