"DALRY BLAIR",,,,,,,,,,,,
Grid ref,NS302481,Long,-4.703280,Lat,55.696548,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.28,2.50,5.18,8.19,5.14,3.87,5.01,4.16,7.01,5.31,,
February,3.47,1.93,1.79,6.59,4.57,4.19,3.52,4.12,4.26,2.93,,
March,0.47,1.97,4.01,6.56,2.08,5.41,3.73,7.00,5.31,2.28,,
April,2.73,4.16,1.04,2.30,6.08,3.27,2.27,3.05,2.61,5.42,,
May,3.65,1.67,2.65,3.48,3.58,2.37,6.25,4.87,3.01,2.70,,
June,3.15,3.92,1.84,3.21,2.44,1.44,1.26,5.11,2.89,3.29,,
July,4.17,1.77,4.59,4.70,4.08,3.22,3.75,3.77,4.30,5.82,,
August,6.28,6.42,3.25,9.38,6.00,6.35,5.63,6.65,4.21,3.23,,
September,4.82,4.13,4.55,4.12,5.29,3.71,2.97,2.68,8.40,2.56,,
October,6.97,5.98,3.27,9.30,3.53,4.47,6.75,6.31,1.73,8.35,,
November,6.48,5.19,4.00,4.11,4.13,4.37,4.74,5.07,4.75,3.71,,
December,9.30,4.26,5.46,4.91,3.85,4.40,5.25,7.32,4.53,6.43,,
Total,58.77,43.90,41.63,66.85,50.77,47.07,51.13,60.11,53.01,52.03,,
Calc annual,58.77,43.90,41.63,66.85,50.77,47.07,51.13,60.11,53.01,52.03,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
