"HILLINGTON SCHOOL",,,,,,,,,,,,
Grid ref,TF721254,Long,0.551286,Lat,52.798706,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.44,0.87,1.28,1.70,2.21,1.17,3.93,1.59,1.50,1.21,,
February,3.98,1.82,1.60,0.74,3.02,0.99,3.10,1.54,1.85,0.51,,
March,0.89,2.29,1.29,2.88,2.12,2.43,1.85,1.30,2.72,3.72,,
April,1.34,2.04,1.57,2.08,1.15,1.47,1.16,2.74,3.64,1.42,,
May,1.62,1.50,4.38,2.80,2.04,1.30,1.79,2.96,1.76,2.16,,
June,2.31,1.29,3.52,2.51,1.04,3.57,3.46,1.94,1.09,4.18,,
July,2.00,1.38,3.15,3.41,4.25,1.11,0.45,2.31,3.74,3.68,,
August,5.62,1.86,2.89,4.94,2.34,2.11,3.10,2.25,2.69,3.42,,
September,0.78,0.96,1.40,4.05,2.44,2.61,1.73,0.87,1.88,1.96,,
October,3.04,2.79,2.19,6.10,1.36,2.75,4.48,2.29,1.34,4.56,,
November,2.61,2.54,1.39,2.41,1.38,2.13,4.12,2.99,1.41,1.22,,
December,3.89,5.08,1.55,2.02,2.30,1.03,2.41,2.91,1.90,5.52,,
Total,32.52,24.42,26.21,35.64,25.65,22.67,31.58,25.69,25.52,33.56,,
Calc annual,32.52,24.42,26.21,35.64,25.65,22.67,31.58,25.69,25.52,33.56,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
