"OLDCASTLE KILLEAGH RECTORY",,,,,,,,,,,,
Grid ref,IN5346077961,Long,-7.190288,Lat,53.748724,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.64,2.89,5.51,3.47,1.66,4.15,,,,,
February,,1.32,2.71,4.24,3.84,1.55,2.42,,,,,
March,,2.97,1.84,5.12,2.63,4.15,2.20,,,,,
April,,1.84,2.37,1.40,1.85,2.03,1.77,,,,,
May,,2.92,2.76,1.79,2.31,0.95,3.69,,,,,
June,,2.59,2.58,1.03,1.56,1.69,2.44,,,,,
July,,0.78,3.92,5.20,3.64,1.37,2.71,,,,,
August,,2.82,2.85,7.08,4.52,7.08,,,,,,
September,,4.10,2.23,4.39,3.07,1.32,,,,,,
October,,3.57,1.97,4.88,1.57,1.42,,,,,,
November,,2.95,3.39,2.25,1.92,2.99,,,,,,
December,,3.22,2.74,2.76,2.42,2.34,,,,,,
Total,,32.72,32.25,45.65,32.80,28.55,,,,,,
Calc annual,0.00,32.72,32.25,45.65,32.80,28.55,19.38,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
