"RAVENSCAR",,,,,,,,,,,,
Grid ref,NZ976014,Long,-0.498143,Lat,54.398721,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.56,1.73,1.41,2.21,2.25,,,,,,,
February,7.60,2.68,1.59,1.55,2.25,,,,,,,
March,1.11,2.95,1.25,2.23,0.93,,,,,,,
April,1.30,1.70,0.80,2.85,,,,,,,,
May,1.39,1.71,2.14,1.86,3.06,,,,,,,
June,2.03,1.14,2.91,2.22,1.21,,,,,,,
July,0.88,2.79,2.41,4.19,1.78,,,,,,,
August,5.23,2.03,2.70,1.56,3.07,,,,,,,
September,0.53,0.94,0.70,2.52,1.11,,,,,,,
October,4.11,1.43,2.92,6.40,0.79,,,,,,,
November,2.29,4.14,1.16,2.26,,,,,,,,
December,2.76,3.64,2.84,0.94,,,,,,,,
Total,32.79,26.88,22.83,30.79,,,,,,,,
Calc annual,32.79,26.88,22.83,30.79,16.45,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
