"GLAMIS CASTLE",,,,,,,,,,,,
Grid ref,NO388480,Long,-2.998895,Lat,56.619845,,,,,,,
Station no,5575,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.83,1.65,1.06,3.60,2.64,0.71,3.08,1.76,1.76,2.03,,
February,3.42,1.81,1.17,3.70,4.13,0.94,1.26,1.78,1.02,0.54,,
March,1.38,1.84,1.06,4.72,1.84,3.85,1.16,1.55,4.14,3.65,,
April,1.49,2.83,2.49,1.39,2.36,2.34,1.22,2.53,0.81,3.73,,
May,3.15,2.25,1.93,1.48,2.65,2.21,5.01,4.22,1.74,3.26,,
June,2.36,1.80,1.39,1.99,0.71,1.15,0.99,4.18,1.50,1.01,,
July,3.47,1.88,2.49,5.79,1.30,1.20,1.43,2.69,1.84,2.43,,
August,3.33,3.73,3.84,4.44,4.24,3.79,5.67,3.52,1.59,1.71,,
September,1.99,2.04,1.58,3.35,2.80,1.54,1.14,1.04,5.48,1.36,,
October,2.95,2.73,1.64,5.93,0.84,1.87,4.78,4.79,3.07,3.72,,
November,4.06,1.62,4.54,0.81,1.62,6.43,4.16,1.91,2.23,0.39,,
December,4.19,2.40,3.99,3.24,1.98,2.48,2.02,4.05,1.88,3.34,,
Total,35.62,26.58,27.18,40.44,27.11,28.51,31.92,34.02,27.06,27.17,,
Calc annual,35.62,26.58,27.18,40.44,27.11,28.51,31.92,34.02,27.06,27.17,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
