"DOUGLAS ELSINORE",,,,,,,,,,,,
Grid ref,SC383765,Long,-4.477934,Lat,54.158773,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.54,3.01,,,,,,,,,,
February,4.43,2.54,,,,,,,,,,
March,1.19,2.99,,,,,,,,,,
April,2.78,3.01,,,,,,,,,,
May,2.93,1.61,,,,,,,,,,
June,2.59,3.39,,,,,,,,,,
July,2.39,1.47,,,,,,,,,,
August,6.76,4.39,,,,,,,,,,
September,2.20,3.14,,,,,,,,,,
October,6.25,6.52,,,,,,,,,,
November,5.61,5.45,,,,,,,,,,
December,4.98,5.56,,,,,,,,,,
Total,46.65,43.08,,,,,,,,,,
Calc annual,46.65,43.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
