"PENRITH ENNIM",,,,,,,,,,,,
Grid ref,NY459319,Long,-2.840552,Lat,54.679238,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.31,,,6.74,4.74,1.77,6.79,1.15,3.44,3.49,,
February,6.93,,,8.59,4.26,2.93,3.15,2.91,2.50,3.21,,
March,0.54,,,8.39,2.77,3.70,2.85,3.94,5.32,3.44,,
April,2.92,,,1.62,3.60,3.54,0.83,2.10,2.22,2.42,,
May,2.13,,,3.90,2.66,0.42,5.77,4.86,2.38,1.79,,
June,3.72,,,1.47,1.50,1.38,1.01,5.06,1.92,2.66,,
July,1.17,,,3.60,1.10,1.28,2.08,1.95,3.41,4.73,,
August,6.23,,,5.61,4.49,3.32,3.98,3.47,4.55,3.39,,
September,1.96,,,4.54,1.07,2.95,1.42,0.44,3.44,2.27,,
October,6.28,,,11.21,1.74,3.16,6.52,5.84,1.81,5.85,,
November,2.82,,,2.63,3.42,3.76,4.06,3.20,3.35,2.13,,
December,6.82,,,3.08,3.77,2.07,3.05,5.90,2.67,8.47,,
Total,43.83,,,61.38,35.12,30.28,41.51,40.82,37.01,43.85,,
Calc annual,43.83,0.00,0.00,61.38,35.12,30.28,41.51,40.82,37.01,43.85,,
Difference,0.00,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
