"STURMINSTER MARSHALL BAILIE HOUSE",,,,,,,,,,,,
Grid ref,SY947990,Long,-2.076558,Lat,50.790543,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.19,2.28,1.03,2.88,5.48,0.91,8.05,1.05,1.05,1.04,,
February,5.22,1.80,2.15,2.02,4.71,0.79,3.79,1.49,1.23,0.51,,
March,1.05,2.18,2.35,3.91,1.62,5.18,1.03,0.59,3.45,4.52,,
April,1.32,2.65,1.69,3.27,1.24,1.75,1.38,3.82,2.37,1.27,,
May,1.59,1.09,2.29,3.63,2.67,1.00,2.68,1.85,2.46,1.54,,
June,2.35,1.58,3.61,2.66,1.01,2.19,1.54,2.07,0.34,3.68,,
July,0.72,2.05,1.69,3.35,3.26,0.36,1.92,1.00,2.11,2.43,,
August,2.98,2.17,4.89,4.44,4.39,3.12,1.06,1.44,4.26,2.70,,
September,1.26,4.24,1.49,2.35,2.56,1.89,0.91,0.55,2.21,3.39,,
October,3.41,2.66,2.70,8.90,2.31,2.53,6.40,10.37,2.65,8.07,,
November,4.56,0.58,4.44,1.61,1.53,4.81,4.32,2.91,0.96,0.65,,
December,5.55,4.96,2.02,3.37,3.40,0.78,2.13,3.64,3.34,4.76,,
Total,34.20,28.24,30.35,42.39,34.18,25.31,35.21,30.78,26.43,34.56,,
Calc annual,34.20,28.24,30.35,42.39,34.18,25.31,35.21,30.78,26.43,34.56,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
