"CALLANDER THE GART",,,,,,,,,,,,
Grid ref,NN641065,Long,-4.193863,Lat,56.231564,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.20,3.59,6.03,,,,,,,,,
February,3.48,2.64,0.51,,,,,,,,,
March,1.04,2.59,5.36,,,,,,,,,
April,3.59,5.54,1.90,,,,,,,,,
May,3.29,0.97,2.39,,,,,,,,,
June,6.66,5.25,2.35,,,,,,,,,
July,3.26,3.63,2.71,,,,,,,,,
August,5.11,5.38,3.89,,,,,,,,,
September,5.11,3.80,2.25,,,,,,,,,
October,6.28,4.73,2.68,,,,,,,,,
November,6.48,4.58,8.50,,,,,,,,,
December,12.26,4.48,5.71,,,,,,,,,
Total,64.76,47.18,44.28,,,,,,,,,
Calc annual,64.76,47.18,44.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
