"CARDROSS DARLEITH",,,,,,,,,,,,
Grid ref,NS344805,Long,-4.656304,Lat,55.988801,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.34,3.88,6.22,,,
February,,,,,,,3.84,3.77,3.53,,,
March,,,,,,,4.18,5.50,5.95,,,
April,,,,,,,1.46,2.85,,,,
May,,,,,,,5.43,5.89,,,,
June,,,,,,,2.13,5.38,,,,
July,,,,,,,3.32,3.22,,,,
August,,,,,,,5.17,6.18,,,,
September,,,,,,,2.65,2.12,,,,
October,,,,,,,6.94,6.65,,,,
November,,,,,,,5.19,4.02,,,,
December,,,,,,,4.97,7.21,,,,
Total,,,,,,,51.62,56.67,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,51.62,56.67,15.70,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,,
