"SOUTHPORT HESKETH PARK",,,,,,,,,,,,
Grid ref,SD350183,Long,-2.985013,Lat,53.657134,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.31,2.65,2.86,1.62,3.97,1.28,1.81,1.98,,
February,,,1.35,2.30,3.74,1.24,3.30,1.61,2.11,0.97,,
March,,,1.91,2.87,2.06,3.01,2.62,2.69,2.41,2.78,,
April,,,1.56,1.68,1.75,2.47,1.04,1.62,2.42,2.92,,
May,,,3.38,2.73,1.74,0.30,3.22,3.10,2.70,1.40,,
June,,,1.57,2.20,1.19,1.99,1.82,5.96,1.95,2.68,,
July,,,2.35,2.52,1.09,1.84,1.21,1.98,3.50,4.88,,
August,,,2.15,4.16,3.11,3.43,2.99,3.78,3.39,3.10,,
September,,,0.99,5.26,2.14,2.21,1.70,0.77,4.15,2.40,,
October,,,3.02,7.06,2.05,2.94,5.62,3.82,2.64,4.66,,
November,,,1.95,3.12,1.99,4.74,2.36,2.69,2.72,1.55,,
December,,,2.89,2.97,2.29,0.61,2.85,3.39,2.43,5.91,,
Total,,,25.43,39.52,26.01,26.40,32.70,32.69,32.23,35.23,,
Calc annual,0.00,0.00,25.43,39.52,26.01,26.40,32.70,32.69,32.23,35.23,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
