"BARNSNESS LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NT722772,Long,-2.447160,Lat,55.986960,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.21,2.89,2.53,0.69,2.02,0.51,1.98,1.14,,
February,,,0.98,4.27,3.92,1.08,0.67,1.11,0.71,1.63,,
March,,,1.07,1.84,1.92,1.59,1.63,1.11,3.37,4.93,,
April,,,1.36,1.05,1.27,1.91,1.02,1.66,1.15,2.87,,
May,,,2.00,0.77,2.57,0.59,6.73,2.43,2.65,2.12,,
June,,,3.37,1.33,1.61,0.57,1.26,4.18,0.78,1.26,,
July,,,2.19,4.80,1.28,1.69,1.82,1.84,2.65,2.33,,
August,,,1.17,3.35,2.16,2.76,5.26,2.10,0.94,2.29,,
September,,,0.95,2.42,2.43,1.88,0.58,1.36,3.08,1.77,,
October,,,1.94,5.99,0.75,2.66,6.82,4.88,1.06,1.99,,
November,,3.19,1.69,1.60,1.91,4.65,3.30,1.77,1.28,0.09,,
December,,3.55,3.19,1.66,1.56,0.69,2.58,2.65,0.39,2.92,,
Total,,,21.12,31.97,23.91,20.76,33.69,25.60,20.04,25.34,,
Calc annual,0.00,6.74,21.12,31.97,23.91,20.76,33.69,25.60,20.04,25.34,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
