"SELLING HAREFIELD",,,,,,,,,,,,
Grid ref,TR033567,Long,0.913215,Lat,51.273170,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.06,1.15,1.48,2.76,4.34,1.19,3.56,1.07,1.75,0.87,,
February,6.08,2.03,1.35,1.67,3.35,1.05,2.59,1.97,1.62,1.23,,
March,1.72,2.52,1.77,2.58,2.24,3.34,1.72,0.77,2.91,4.38,,
April,1.62,2.25,0.59,2.51,1.29,2.90,1.57,3.00,2.96,1.88,,
May,1.09,0.88,2.16,3.74,2.13,1.53,2.28,2.34,2.21,1.18,,
June,3.20,0.99,2.66,4.79,1.44,6.53,3.24,2.34,0.78,3.86,,
July,1.13,2.62,1.67,5.96,1.89,0.85,0.61,1.73,2.88,2.93,,
August,2.49,1.94,4.17,3.90,2.76,2.26,0.38,1.64,3.95,2.94,,
September,0.96,1.31,1.68,2.21,1.71,2.19,2.10,0.40,2.91,4.05,,
October,1.79,2.81,2.20,5.13,2.07,2.31,3.46,5.80,1.97,6.92,,
November,3.16,1.10,2.08,3.51,1.76,4.33,5.76,2.41,1.23,0.92,,
December,3.31,5.34,2.59,2.13,3.11,0.76,1.95,3.14,3.18,5.13,,
Total,30.61,24.94,24.40,40.89,28.09,29.24,29.22,26.61,28.35,36.29,,
Calc annual,30.61,24.94,24.40,40.89,28.09,29.24,29.22,26.61,28.35,36.29,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,,
