"EDDLESTONE PORTMORE RESERVOIR",,,,,,,,,,,,
Grid ref,NT259507,Long,-3.181885,Lat,55.743987,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.40,2.37,1.52,4.85,2.37,1.26,3.37,2.04,3.12,2.77,,
February,3.75,1.55,0.90,4.95,3.05,1.58,1.22,1.67,1.67,2.04,,
March,1.22,2.23,1.73,3.95,1.67,4.37,2.32,2.28,5.48,5.53,,
April,2.10,1.78,1.90,1.32,2.82,2.37,1.45,2.10,1.32,3.25,,
May,1.56,2.18,3.05,2.60,3.87,1.47,5.32,2.87,3.26,2.82,,
June,3.94,2.00,3.28,1.90,2.54,1.02,1.88,3.64,1.20,2.43,,
July,3.40,1.33,2.62,4.00,2.16,1.84,2.00,3.17,3.25,4.80,,
August,4.22,5.05,1.30,3.90,4.90,3.77,6.25,4.23,2.28,2.50,,
September,3.20,1.12,1.92,2.35,1.18,2.87,1.06,1.54,4.44,2.58,,
October,4.37,2.90,1.98,8.52,1.14,2.75,7.05,9.60,1.20,5.30,,
November,5.05,3.97,2.10,2.65,2.22,3.98,5.70,2.37,1.93,0.97,,
December,5.30,4.80,4.25,2.40,2.77,1.62,1.65,3.67,0.82,3.35,,
Total,42.51,31.28,26.55,43.39,30.69,28.90,39.27,39.18,29.97,38.34,,
Calc annual,42.51,31.28,26.55,43.39,30.69,28.90,39.27,39.18,29.97,38.34,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
