"FORT WILLIAM ARDTRAIGH",,,,,,,,,,,,
Grid ref,NN102737,Long,-5.111196,Lat,56.815949,,,,,,,
Station no,RR441,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,8.32,,,,,,
February,,,,,,9.44,,,,,,
March,,,,,,9.27,,,,,,
April,,,,,,3.49,,,,,,
May,,,,,,5.02,,,,,,
June,,,,,,3.90,,,,,,
July,,,,,,4.89,,,,,,
August,,,,,,7.91,,,,,,
September,,,,,,7.35,,,,,,
October,,,,,,5.52,,,,,,
November,,,,,,5.45,,,,,,
December,,,,,,9.86,,,,,,
Total,,,,,,80.42,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,80.42,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,,
