"NUN MONKTON (PRIORY)",,,,,,,,,,,,
Grid ref,SE511579,Long,-1.221670,Lat,54.014590,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.23,1.21,0.91,1.85,2.01,0.57,2.91,0.81,1.03,0.70,,
February,4.40,1.89,1.27,1.68,2.37,0.76,1.74,1.31,1.40,0.64,,
March,0.54,1.75,0.82,2.47,1.60,1.62,1.22,1.34,2.82,3.50,,
April,1.25,1.76,1.97,1.48,1.59,2.27,0.63,1.25,2.09,2.63,,
May,1.40,1.00,2.09,3.73,2.57,0.74,1.79,3.95,2.38,1.32,,
June,2.63,1.36,1.39,1.69,1.05,1.53,1.53,3.30,1.01,2.86,,
July,1.87,1.21,2.49,3.24,2.03,1.55,0.71,1.50,2.52,2.57,,
August,3.45,1.60,1.86,1.91,3.32,3.12,2.01,1.48,1.63,2.88,,
September,0.89,0.97,0.67,3.03,0.97,1.83,0.49,0.59,2.08,1.31,,
October,3.56,1.79,2.38,7.14,0.57,1.35,4.66,5.46,0.84,2.29,,
November,2.68,3.67,1.42,1.27,1.52,3.42,2.75,2.39,1.30,0.40,,
December,2.32,3.48,1.54,0.83,1.46,0.26,1.71,2.45,1.64,4.60,,
Total,28.22,21.69,18.81,30.32,21.06,19.02,22.15,25.83,20.74,25.70,,
Calc annual,28.22,21.69,18.81,30.32,21.06,19.02,22.15,25.83,20.74,25.70,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
