"LOOE RAILWAY STATION",,,,,,,,,,,,
Grid ref,SX254539,Long,-4.456014,Lat,50.359047,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,7.23,2.06,,,,
February,,,,,,,6.10,2.69,,,,
March,,,,,,,1.70,1.29,,,,
April,,,,,,,1.15,6.87,,,,
May,,,,,,,3.99,,,,,
June,,,,,,,1.59,,,,,
July,,,,,,,2.18,,,,,
August,,,,,,,3.21,,,,,
September,,,,,,,1.31,,,,,
October,,,,,,,4.82,,,,,
November,,,,,,6.70,3.44,,,,,
December,,,,,,2.13,3.86,,,,,
Total,,,,,,,40.58,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,8.83,40.58,12.91,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,,
