"SCARBOROUGH",,,,,,,,,,,,
Grid ref,TA042882,Long,-0.401132,Lat,54.278831,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.72,0.78,1.25,2.02,1.88,0.52,3.28,1.29,1.56,0.51,,
February,3.94,2.05,1.22,1.47,2.26,1.30,1.15,1.60,2.21,1.06,,
March,1.04,2.09,1.45,1.74,1.25,1.86,1.46,0.84,2.15,4.37,,
April,1.07,1.93,0.93,2.74,1.00,1.62,0.80,1.71,1.84,1.91,,
May,0.93,0.70,2.79,2.09,2.65,1.01,2.10,2.70,1.32,1.36,,
June,2.11,1.74,2.08,1.64,0.71,0.56,0.34,2.48,1.29,2.31,,
July,1.86,1.39,2.34,3.08,1.23,0.78,0.72,0.58,1.19,2.74,,
August,5.22,3.23,3.38,2.15,2.66,2.71,1.93,1.64,2.06,4.02,,
September,0.52,0.72,0.76,3.03,1.24,1.31,0.81,0.45,2.00,1.87,,
October,3.70,1.35,2.32,6.28,0.54,3.23,4.45,4.37,1.11,2.61,,
November,1.86,3.84,1.13,2.25,2.47,4.22,3.27,1.86,1.25,1.59,,
December,3.74,3.71,2.44,1.26,1.91,0.39,2.69,3.08,2.24,4.53,,
Total,30.71,23.53,22.09,29.75,19.80,19.51,23.00,22.60,20.22,28.88,,
Calc annual,30.71,23.53,22.09,29.75,19.80,19.51,23.00,22.60,20.22,28.88,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
