"KILKENNY, BALLYCALLAN",,,,,,,,,,,,
Grid ref,IS4296252366,Long,-7.366285,Lat,52.621126,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.93,5.84,4.12,,,,,,,
February,,,3.28,3.47,5.24,,,,,,,
March,,,2.51,4.41,2.77,,,,,,,
April,,,2.77,1.56,2.09,,,,,,,
May,,,2.17,2.38,2.72,,,,,,,
June,,,2.59,4.00,1.80,,,,,,,
July,,,2.14,4.88,3.48,,,,,,,
August,,,4.43,5.27,4.65,,,,,,,
September,,,3.81,3.20,3.07,,,,,,,
October,,,2.79,4.90,,,,,,,,
November,,,6.19,2.03,,,,,,,,
December,,,2.73,4.43,,,,,,,,
Total,,,37.34,46.37,,,,,,,,
Calc annual,0.00,0.00,37.34,46.37,29.94,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
