"BODUAN HALL",,,,,,,,,,,,
Grid ref,SH325378,Long,-4.492381,Lat,52.911444,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.05,2.67,2.11,5.54,6.07,2.44,6.81,2.16,2.95,1.48,,
February,6.16,2.03,1.76,3.60,-999.00,1.35,4.52,2.08,3.10,3.69,,
March,1.69,3.82,3.02,6.34,3.26,6.10,2.46,1.35,3.48,0.76,,
April,2.02,2.61,1.79,1.98,2.37,3.16,1.54,2.33,2.60,3.94,,
May,2.78,1.04,3.75,2.13,2.50,1.46,4.39,3.33,2.34,2.55,,
June,2.86,2.62,3.09,2.12,1.82,2.40,1.48,5.14,3.16,3.84,,
July,1.68,1.98,2.10,4.35,2.03,1.80,1.25,2.67,6.24,7.02,,
August,5.31,4.85,3.84,6.13,4.51,5.70,6.50,3.64,4.80,2.03,,
September,1.74,3.63,2.46,5.83,3.75,1.68,0.90,0.70,3.42,4.22,,
October,5.22,6.62,4.88,10.36,2.01,3.98,7.41,7.39,2.45,8.57,,
November,7.35,5.96,4.02,4.32,2.93,6.60,2.63,4.42,4.90,2.17,,
December,6.90,6.55,3.46,5.21,4.07,1.45,4.87,4.55,5.80,5.56,,
Total,48.76,44.38,36.28,57.91,39.40,38.12,44.76,39.76,45.24,45.83,,
Calc annual,48.76,44.38,36.28,57.91,35.32,38.12,44.76,39.76,45.24,45.83,,
Difference,0.00,0.00,0.00,-0.00,4.08,-0.00,0.00,0.00,0.00,0.00,,
