"COMBS MOSS",,,,,,,,,,,,
Grid ref,SK059763,Long,-1.912967,Lat,53.283641,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.77,1.85,2.02,3.48,3.90,1.76,4.00,1.07,2.36,1.74,,
February,3.22,1.36,1.07,2.71,2.74,1.81,2.70,1.76,3.12,1.75,,
March,0.64,2.58,2.12,3.94,1.66,3.95,3.44,2.44,3.88,3.20,,
April,2.03,2.15,2.10,1.91,2.31,2.85,1.33,1.60,1.74,2.18,,
May,1.44,1.52,3.27,2.16,3.04,0.47,3.64,3.05,3.02,1.99,,
June,3.72,1.69,1.65,0.55,0.66,1.59,1.04,5.75,1.54,2.40,,
July,3.18,2.53,2.31,2.67,1.68,2.18,1.40,3.66,3.30,3.97,,
August,3.83,1.93,3.44,4.33,4.23,4.25,2.42,4.30,3.32,2.28,,
September,1.25,1.06,1.36,4.88,1.82,2.19,1.29,0.43,3.05,2.72,,
October,4.51,3.59,4.52,9.44,1.20,3.32,5.76,4.79,1.20,5.35,,
November,2.99,4.76,2.75,3.14,2.58,4.60,2.98,2.36,2.94,1.29,,
December,5.02,4.68,2.91,2.50,1.96,0.88,2.12,3.03,1.87,5.17,,
Total,36.60,29.70,29.52,41.71,27.78,29.85,32.12,34.24,31.34,34.04,,
Calc annual,36.60,29.70,29.52,41.71,27.78,29.85,32.12,34.24,31.34,34.04,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
