"BALLINASLOE ASYLUM",,,,,,,,,,,,
Grid ref,IM8630831049,Long,-8.206270,Lat,53.329737,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.54,,
February,,,,,,,,,,1.21,,
March,,,,,,,,,,2.32,,
April,,,,,,,,,,4.45,,
May,,,,,,,,,,1.76,,
June,,,,,,,,,,2.24,,
July,,,,,,,,,,2.64,,
August,,,,,,,,,,0.94,,
September,,,,,,,,,,2.46,,
October,,,,,,,,,,4.20,,
November,,,,,,,,,2.97,2.57,,
December,,,,,,,,,4.55,3.77,,
Total,,,,,,,,,,31.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.52,31.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
