"SQUABMOOR BLACK HILL NO2",,,,,,,,,,,,
Grid ref,SY029852,Long,-3.375074,Lat,50.658354,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.65,,,,,,,,,,
February,,0.47,,,,,,,,,,
March,,3.70,,,,,,,,,,
April,,2.94,,,,,,,,,,
May,1.70,1.04,,,,,,,,,,
June,2.57,1.55,,,,,,,,,,
July,0.27,3.47,,,,,,,,,,
August,2.21,0.82,,,,,,,,,,
September,0.88,3.33,,,,,,,,,,
October,1.63,1.34,,,,,,,,,,
November,3.57,0.65,,,,,,,,,,
December,4.89,5.78,,,,,,,,,,
Total,,27.74,,,,,,,,,,
Calc annual,17.72,27.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
