"SHAWS W.W. DARNDAFF MOOR",,,,,,,,,,,,
Grid ref,NS276731,Long,-4.760441,Lat,55.919996,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.80,5.20,6.70,10.70,6.50,5.00,9.10,4.80,9.80,8.40,,
February,4.20,2.20,2.20,12.30,6.20,5.10,5.00,5.50,5.00,4.20,,
March,0.40,3.20,5.50,12.60,4.10,7.50,5.70,6.30,7.00,2.90,,
April,4.10,5.00,2.80,2.60,6.70,3.30,1.90,4.10,2.00,5.50,,
May,4.80,2.10,3.00,4.10,3.30,2.50,7.20,7.70,3.30,4.10,,
June,4.40,3.90,2.10,3.30,4.00,1.70,1.70,5.70,4.40,4.10,,
July,4.10,2.50,4.60,5.80,2.90,4.10,4.40,2.50,5.50,5.50,,
August,6.00,6.70,3.60,9.90,6.80,6.60,5.80,8.60,5.60,4.00,,
September,5.90,5.30,5.30,5.40,6.70,3.80,3.40,2.10,10.40,3.10,,
October,9.50,6.10,4.20,12.20,4.00,5.30,8.70,7.20,2.70,11.10,,
November,7.60,6.80,6.70,5.10,5.00,8.00,7.20,6.00,6.00,4.80,,
December,11.70,6.50,7.30,6.40,5.50,6.40,5.80,9.10,7.60,10.00,,
Total,72.50,55.50,54.00,90.40,61.70,59.30,65.90,69.60,69.30,67.70,,
Calc annual,72.50,55.50,54.00,90.40,61.70,59.30,65.90,69.60,69.30,67.70,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
