"AILSA CRAIG",,,,,,,,,,,,
Grid ref,NX019997,Long,-5.118355,Lat,55.251573,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.26,0.85,0.84,5.22,4.00,3.17,6.94,5.06,2.08,3.95,,
February,1.34,0.85,0.31,1.27,3.60,3.63,6.32,2.05,3.32,1.54,,
March,0.19,0.60,1.34,1.95,1.70,3.51,8.15,8.50,3.49,4.94,,
April,0.72,1.45,0.07,0.51,3.30,2.20,1.18,5.75,1.40,2.65,,
May,0.95,0.50,1.15,2.84,2.30,1.30,4.14,8.39,1.28,2.42,,
June,0.60,1.40,0.85,0.80,2.10,1.40,4.30,9.60,2.87,2.45,,
July,1.73,0.17,0.67,1.70,3.15,5.06,7.70,6.89,3.08,4.86,,
August,1.24,4.30,2.47,2.75,11.70,7.72,7.75,6.98,3.00,2.61,,
September,1.24,2.30,2.22,1.25,1.84,4.49,0.87,1.25,2.85,2.36,,
October,1.39,4.40,1.20,6.00,1.74,7.14,9.69,5.80,1.26,3.43,,
November,0.41,3.05,3.55,1.80,4.37,8.20,6.60,8.03,2.57,0.76,,
December,1.11,1.54,1.06,2.00,4.48,4.40,9.25,7.10,2.69,3.73,,
Total,13.18,21.41,15.73,28.09,44.28,52.22,72.89,75.40,29.89,35.70,,
Calc annual,13.18,21.41,15.73,28.09,44.28,52.22,72.89,75.40,29.89,35.70,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
