"DUNDRUM, THE RECTORY",,,,,,,,,,,,
Grid ref,IR9726844864,Long,-8.041000,Lat,52.555389,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.24,,
February,,,,,,,,,,1.22,,
March,,,,,,,,,,3.22,,
April,,,,,,,,,,6.16,,
May,,,,,,,,,,3.07,,
June,,,,,,,,,,1.27,,
July,,,,,,,,,,2.97,,
August,,,,,,,,,,1.04,,
September,,,,,,,,,,3.27,,
October,,,,,,,,,,6.22,,
November,,,,,,,,,,1.82,,
December,,,,,,,,,3.38,3.61,,
Total,,,,,,,,,,36.11,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.38,36.11,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
