"WESTPORT ST HELENS",,,,,,,,,,,,
Grid ref,IL9660383341,Long,-9.569802,Lat,53.789525,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,5.50,6.89,4.32,7.37,2.36,4.66,5.06,,
February,,,,5.90,7.00,2.91,4.44,3.02,3.59,2.43,,
March,,,,7.86,2.66,6.46,3.53,4.56,5.43,3.55,,
April,,,,1.97,4.52,2.32,2.72,2.90,2.81,4.45,,
May,,,,2.68,2.86,1.42,3.72,4.46,3.52,1.92,,
June,,,,0.79,1.86,1.78,2.26,4.55,2.40,1.20,,
July,,,,4.61,3.89,2.58,2.49,2.81,1.94,3.69,,
August,,,,8.64,4.62,4.80,3.57,3.69,4.98,2.35,,
September,,,,5.81,3.86,2.36,1.35,1.46,8.23,3.43,,
October,,,,8.19,3.10,2.38,5.77,6.23,1.19,7.31,,
November,,,,3.70,4.60,5.66,2.99,3.44,4.00,3.07,,
December,,,,4.54,3.81,4.06,5.46,8.16,6.89,4.02,,
Total,,,,60.19,49.67,41.05,45.67,47.64,49.64,42.48,,
Calc annual,0.00,0.00,0.00,60.19,49.67,41.05,45.67,47.64,49.64,42.48,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
