"NEWCASTLE, GLENBRAE, JESMOND",,,,,,,,,,,,
Grid ref,NZ260660,Long,-1.595216,Lat,54.987919,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.39,1.52,,,
February,,,,,,,,1.25,1.68,,,
March,,,,,,,,0.87,3.39,,,
April,,,,,,,,2.38,3.09,,,
May,,,,,,,,4.07,1.87,,,
June,,,,,,,,2.09,0.53,,,
July,,,,,,,,1.61,2.90,,,
August,,,,,,,,2.40,1.56,,,
September,,,,,,,,0.61,1.75,,,
October,,,,,,,,5.53,1.39,,,
November,,,,,,,,1.73,1.28,,,
December,,,,,,,,2.75,0.87,,,
Total,,,,,,,,25.68,21.83,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.68,21.83,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,,
