"BARR HILL KILDONAN",,,,,,,,,,,,
Grid ref,NX228831,Long,-4.779586,Lat,55.110538,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.05,1.70,,,,
February,,,,,,,1.60,1.15,,,,
March,,,,,,,1.40,0.73,,,,
April,,,,,,,1.15,1.95,,,,
May,,,,,,,4.25,2.80,,,,
June,,,,,,,1.45,3.95,,,,
July,,,,,,,2.75,1.85,,,,
August,,,,,,,3.90,2.85,,,,
September,,,,,,,1.40,1.20,,,,
October,,,,,,,9.45,7.00,,,,
November,,,,,,,2.80,4.55,,,,
December,,,,,,,3.60,1.80,,,,
Total,,,,,,,35.80,31.53,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,35.80,31.53,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,,
