"ORTON LODGE (OR DROPSHORT)",,,,,,,,,,,,
Grid ref,SP816792,Long,-0.801963,Lat,52.404735,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.01,2.39,2.45,,,,,,,
February,,,1.90,1.12,3.42,,,,,,,
March,,,1.39,3.23,1.72,,,,,,,
April,,,1.56,2.26,1.21,,,,,,,
May,,,1.70,2.94,2.60,,,,,,,
June,,,2.29,2.44,1.00,,,,,,,
July,,,1.10,2.59,,,,,,,,
August,,,3.08,4.21,,,,,,,,
September,,,2.01,3.29,,,,,,,,
October,,,2.07,6.70,,,,,,,,
November,,0.87,1.88,1.61,,,,,,,,
December,,3.71,0.83,1.23,,,,,,,,
Total,,,20.82,34.01,,,,,,,,
Calc annual,0.00,4.58,20.82,34.01,12.40,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
