"EIGG",,,,,,,,,,,,
Grid ref,NM461865,Long,-6.171392,Lat,56.900081,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,4.23,5.50,4.70,,,,,,,,
February,,4.00,1.30,7.61,,,,,,,,
March,,3.27,6.89,5.63,,,,,,,,
April,,4.26,2.60,,,,,,,,,
May,,1.52,3.82,,,,,,,,,
June,,4.18,1.84,,,,,,,,,
July,,2.68,2.92,,,,,,,,,
August,,6.03,3.64,,,,,,,,,
September,,3.33,5.69,,,,,,,,,
October,,8.10,3.79,,,,,,,,,
November,,6.40,4.04,,,,,,,,,
December,,5.40,3.67,,,,,,,,,
Total,,53.40,45.70,,,,,,,,,
Calc annual,0.00,53.40,45.70,17.94,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
