"MULL LOCHBUIE",,,,,,,,,,,,
Grid ref,NM617249,Long,-5.859037,Lat,56.356236,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,13.47,7.99,8.14,9.52,7.84,8.66,10.22,9.46,9.46,10.79,,
February,4.33,5.50,2.50,10.54,11.25,8.56,7.41,8.22,8.97,5.86,,
March,3.05,3.29,8.05,10.14,5.03,9.56,5.05,8.28,10.29,1.94,,
April,9.41,9.27,4.50,7.28,10.53,4.48,5.01,4.73,3.52,7.17,,
May,5.96,2.72,5.21,4.53,5.28,5.00,5.50,7.24,5.68,5.07,,
June,3.87,5.98,1.70,1.74,4.70,1.52,1.71,6.76,4.71,2.33,,
July,5.83,4.72,6.44,7.19,4.15,7.08,5.71,5.26,7.27,8.50,,
August,6.73,9.53,6.39,11.04,7.83,6.01,6.12,12.73,5.26,6.58,,
September,8.75,5.15,7.94,4.97,5.61,7.98,6.06,3.66,12.97,3.58,,
October,7.53,11.28,8.39,15.71,8.42,8.19,9.03,5.48,2.19,8.73,,
November,8.50,10.04,7.42,9.20,6.92,9.22,10.58,9.39,6.66,7.61,,
December,15.17,9.74,9.14,6.99,8.74,6.84,11.36,8.79,11.92,13.51,,
Total,92.60,85.21,75.82,98.85,86.30,83.10,83.76,90.00,88.90,81.67,,
Calc annual,92.60,85.21,75.82,98.85,86.30,83.10,83.76,90.00,88.90,81.67,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
